task,gpt56_score,r16_reward,r16_n,glm52_verifier_mean,glm52_composite_mean,glm52_n
abacus-game-solver,1.0,,,1.0000,1.0000,8
abr-restore-drift,1.0,,,1.0000,0.9693,8
absenteeism-log-analysis,1.0,,,0.6250,0.6955,8
access-adjudicator-ledger,1.0,,,0.0000,0.0000,8
access-log-session-funnel,1.0,,,1.0000,0.9803,8
accrual-persistence,1.0,,,0.6250,0.6625,8
accurate-polynomial-eval,1.0,,,0.8750,0.8735,8
acl-inheritance-repair,1.0,,,1.0000,0.9762,8
acl-replay-reconstructor,1.0,,,0.1250,0.3065,8
acoustic-similarity-clustering,1.0,,,1.0000,0.9879,8
activation-remat-ledger,1.0,,,0.0000,0.1875,8
active-rotation-remap,1.0,,,0.7500,0.6525,8
actuator-health-rollup,1.0,,,0.6250,0.7262,8
adaptive-product-ranker,1.0,,,1.0000,0.9951,8
adaptive-replay-catalog-audit,1.0,,,0.7500,0.7206,8
adaptive-simpson-checkpoint,1.0,,,1.0000,0.9592,8
admin-user-filter-fix,1.0,,,1.0000,0.7574,8
adspend-causal-estimate,1.0,,,0.3750,0.4144,8
aes-cache-attack-fix,1.0,,,1.0000,1.0000,8
aethergrid-round-referee,1.0,,,0.6250,0.6452,8
affine-fixed-locus,1.0,,,1.0000,0.9250,8
affine-segmentation-solver,1.0,,,0.0000,0.2896,8
aftershock-lifecycle-audit,1.0,,,1.0000,0.9935,8
aho-triage-repair,1.0,,,0.0000,0.2807,8
air-quality-nowcaster,1.0,,,0.2500,0.4592,8
alfriend-risk-repair,1.0,,,0.0000,0.2375,8
allocation-contract-normalizer,1.0,,,1.0000,1.0000,8
amr-flux-byte-planner,1.0,,,0.7500,0.8125,8
anchor-replay-vol,1.0,,,0.0000,0.2736,8
animal-intake-cleaning,1.0,,,0.6250,0.7176,8
aperture-phase-inference,1.0,,,0.7500,0.8097,8
api-key-revocation-admission,1.0,,,0.8750,0.8622,8
apiary-reconcile-audit,1.0,,,0.8750,0.8750,8
apparmor-policy-engine,1.0,,,0.2500,0.4689,8
apparmor-worker-confinement,1.0,,,0.6250,0.7375,8
apsis-downlink-recovery,1.0,,,0.1250,0.3875,8
aquaculture-quota-reconcile,1.0,,,0.6250,0.7138,8
archive-error-code-miner,1.0,,,0.7500,0.7601,8
archive-link-order,1.0,,,0.8750,0.8769,8
archive-release-audit,1.0,,,1.0000,0.9639,8
arena-lifetime-audit,1.0,,,1.0000,0.9931,8
arena-replay-recovery,1.0,,,0.0000,0.2742,8
argo-diffuse-smoother,1.0,,,0.7500,0.8250,8
arimaa-match-referee,1.0,,,0.0000,0.2869,8
armhf-export-scrub-fix,1.0,,,0.0000,0.2279,8
arrow-ipc-reconciliation,1.0,,,0.8750,0.8983,8
arrowtap-resume-consistency,1.0,,,0.0000,0.2889,8
artifact-lane-planner,1.0,,,0.8750,0.9022,8
assay-plate-batching,1.0,,,1.0000,0.8460,8
asset-inventory-consistency,1.0,,,0.7500,0.7038,8
atc-sector-reconciler,1.0,,,0.0000,0.2739,8
ate-selection-interaction,1.0,,,1.0000,1.0000,8
atlas-custody-repair,1.0,,,1.0000,0.9135,8
atomic-capture-referee,1.0,,,0.5000,0.6125,8
atomic-chess-referee,1.0,,,1.0000,0.9761,8
atomic-seccomp-reload,1.0,,,0.8750,0.8981,8
atomic-txn-cas-store,1.0,,,1.0000,0.8183,8
attention-pooling-eval,1.0,,,0.0000,0.2625,8
attestation-admission-planner,1.0,,,0.2500,0.4750,8
attestation-replay-chain-fix,1.0,,,0.1250,0.3192,8
attestation-rollup-drift,1.0,,,0.0000,0.2479,8
auction-sale-repair,1.0,,,1.0000,0.9250,8
audit-checkpoint-recovery,1.0,,,0.1250,0.3703,8
